ID	Facility	CR	DR
288	"Theo Lacy Facility (CA) - Nov. 8, 2018"	Cover Letter	Detention Review Summary Form
289	"Yuba County Jail (CA) - Nov. 16, 2018"	Cover Letter	Detention Review Summary Form
290	"Adelanto ICE Processing Center-East (CA) - Oct. 11, 2018"	Cover Letter	Detention Review Summary Form
291	"Adelanto ICE Processing Center-West (CA) - Oct. 11, 2018"	Cover Letter	Detention Review Summary Form
292	"Clinton County Jail (NY) - Oct. 25, 2018"	Cover Letter	Detention Review Summary Form
293	"Aurora ICE Processing Center (CO) - Oct. 4, 2018"	Cover Letter	Detention Review Summary Form
294	"Douglas County Department of Corrections (NE) - Oct. 25, 2018"	Cover Letter	Detention Review Summary Form
295	"Elizabeth Contract Detention Facility (NJ) - Oct. 12, 2018"	Cover Letter	Detention Review Summary Form
296	"Marshall County Jail (IA) - Oct. 25, 2018"	Cover Letter	Detention Review Summary Form
297	"James A. Musick Facility (CA) - Oct. 18, 2018"	Cover Letter	Detention Review Summary Form
298	"Okmulgee County Jail - Moore Detention Facility (OK) - Oct. 4, 2018"	Cover Letter	Detention Review Summary Form
299	"Seneca County Jail (OH) - Oct. 4, 2018"	Cover Letter	Detention Review Summary Form
300	"York County Prison (PA) - Oct. 18, 2018"	Cover Letter	Detention Review Summary Form
301	"Albany County Correctional Facility (NY) - Sep. 27, 2018"	Cover Letter	Detention Review Summary Form
302	"Cass County Jail (NE) - Sep. 13, 2018"	Cover Letter	Detention Review Summary Form
303	"Essex County Correctional Facility (NJ) - Sep. 27, 2018"	Cover Letter	Detention Review Summary Form
304	"Hardin County Jail (IA) - Sep. 13, 2018"	Cover Letter	Detention Review Summary Form
305	"LaSalle ICE Processing Center (LA) - Sep. 27, 2018"	Cover Letter	Detention Review Summary Form
306	"Willacy County Regional Detention Facility (TX) - Sep. 13, 2018"	Cover Letter	Detention Review Summary Form
307	"Central Arizona Florence Correctional Complex (AZ) - Aug. 30, 2018"	Cover Letter	Detention Review Summary Form
308	"Johnson County Corrections Center (TX) - Aug. 23, 2018"	Cover Letter	Detention Review Summary Form
309	"Monroe County Detention Center (FL) - Aug. 23, 2018"	Cover Letter	Detention Review Summary Form
310	"Monroe County Inmate Dormitory (MI) - Aug. 16, 2018"	Cover Letter	Detention Review Summary Form
311	"Polk County Jail (IA) - Aug. 2, 2018"	Cover Letter	Detention Review Summary Form
312	"St. Clair County Jail (MI) - Aug. 9, 2018"	Cover Letter	Detention Review Summary Form
313	"Washoe County Detention Center (NV) - Aug. 30, 2018"	Cover Letter	Detention Review Summary Form
314	"West Texas Detention Facility (TX) - Aug. 9, 2018"	Cover Letter	Detention Review Summary Form
315	"Worcester County Jail (MD) - Aug. 16, 2018"	Cover Letter	Detention Review Summary Form
316	"Chase County Detention Center (KS) - Jul. 12, 2018"	Cover Letter	Detention Review Summary Form
317	"East Hidalgo Detention Center (TX) - Jul. 26, 2018"	Cover Letter	Detention Review Summary Form
318	"Etowah County Jail (AL) - Jul. 19, 2018"	Cover Letter	Detention Review Summary Form
319	"Hall County Department of Corrections (NE) - Jul. 12, 2018"	Cover Letter	Detention Review Summary Form
320	"Henderson Detention Center (NV) - Jul. 19, 2018"	Cover Letter	Detention Review Summary Form
321	"Nevada Southern Detention Center (NV) - Jul. 26, 2018"	Cover Letter	Detention Review Summary Form
322	"Atlanta City Detention Center (GA) - Jun. 21, 2018"	Cover Letter	Detention Review Summary Form
323	"Baker County Detention Center (FL) - Jun. 1, 2018"	Cover Letter	Detention Review Summary Form
324	"Clay County Jail (IN) - Jun. 1, 2018"	Cover Letter	Detention Review Summary Form
325	"Irwin County Detention Center (GA) - Jun. 14, 2018"	Cover Letter	Detention Review Summary Form
326	"Kenosha County Detention Center (WI) - Jun. 7, 2018"	Cover Letter	Detention Review Summary Form
327	"Laredo Processing Center (TX) - Jun. 7, 2018"	Cover Letter	Detention Review Summary Form
328	"McHenry County Adult Correctional Facility (IL) - Jun. 14, 2018"	Cover Letter	Detention Review Summary Form
329	"Mesa Verde Detention Facility (CA) - Jun. 28, 2018"	Cover Letter	Detention Review Summary Form
330	"Plymouth County Correctional Facility (MA) - Jun. 14, 2018"	Cover Letter	Detention Review Summary Form
331	"Tulsa County Jail (OK) - Jun. 1, 2018"	Cover Letter	Detention Review Summary Form
332	"Bristol County Jail and House of Correction (MA) - May 10, 2018"	Cover Letter	Detention Review Summary Form
333	"Caldwell County Detention Center (MO) - May 24, 2018"	Cover Letter	Detention Review Summary Form
334	"Christian County Jail (MO) - May 24, 2018"	Cover Letter	Detention Review Summary Form
335	"Cibola County Correctional Center (NM) - May 10, 2018"	Cover Letter	Detention Review Summary Form
336	"Grand Forks County Correctional Facility (ND) - May 17, 2018"	Cover Letter	Detention Review Summary Form
337	"Nobles County Jail (MN) - May 24, 2018"	Cover Letter	Detention Review Summary Form
338	"Stewart Detention Center (GA) - May 3, 2018"	Cover Letter	Detention Review Summary Form
339	"Suffolk County House of Correction (MA) - May 3, 2018"	Cover Letter	Detention Review Summary Form
340	"Virginia Peninsula Regional Jail (VA) - May 17, 2018"	Cover Letter	Detention Review Summary Form
341	"San Luis Regional Detention Center (AZ) - May 3, 2018"	Cover Letter	Detention Review Summary Form
